start_id,hub_1512,hub_1513,hub_1514,hub_1515,hub_1516,hub_1517,hub_1518,hub_1519,hub_1521,hub_1522,hub_1523,hub_1524,hub_1527,hub_1528,hub_1529,hub_1535,hub_1536,hub_1537,hub_1538,hub_1539,hub_1540,hub_1541,hub_1542,hub_1543,hub_1544,hub_1545,hub_1546,hub_1547,hub_1548,hub_1549,hub_1550,hub_1551,hub_1552,hub_1554,hub_1555,hub_1556,hub_1558,hub_1559,hub_1560,hub_1561,hub_1562,hub_1563,hub_1564,hub_1566,hub_1567,hub_1568,hub_1569,hub_1570,hub_1571,hub_1572,hub_1574,hub_1575,hub_1576,hub_1577,hub_1578,hub_1579,hub_1580,hub_1581,hub_1582,hub_1583,hub_1584,hub_1585,hub_1586,hub_1588,hub_1589,hub_1590,hub_1591,hub_1592,hub_1593,hub_1594,hub_1595,hub_1596,hub_1597,hub_1598,hub_1599,hub_1600,hub_1601,hub_1602,hub_1603,hub_1604,hub_1605,hub_1606,hub_1607,hub_1608,hub_1609,hub_1610,hub_1611,hub_1612,hub_1613,hub_1614,hub_1615,hub_1616,hub_1617,hub_1713,hub_2275,hub_2276,hub_2598,hub_2677,hub_2678,hub_2679,hub_2680,hub_2681,hub_2682,hub_2683,hub_2684,hub_2685,hub_2686,hub_2687,hub_2688,hub_2689,hub_2695,hub_2696,hub_2698,hub_2707,hub_2708,hub_2789,hub_2798,hub_2875,hub_3240
hub_1540,24,24,6,25,12,6,49,2,2,24,15,1,10,14,4,11,27,28,11,20,348,359,14,5,22,28,3,5,14,2,28,1,7,1,5,4,1,1,NA,21,1,21,1,7,5,8,67,129,8,19,91,28,37,49,36,32,7,36,34,17,6,2,21,25,10,21,116,16,39,2,3,8,2,10,2,61,NA,NA,23,16,4,8,NA,5,29,16,16,20,NA,2,38,34,NA,36,2,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,NA,1,8,NA,4,1,21,NA
hub_1541,68,100,84,219,87,6,129,39,NA,11,35,7,89,64,56,30,26,32,57,42,103,1916,134,23,53,71,22,28,32,97,174,4,56,22,25,18,34,3,20,41,3,24,4,29,42,45,385,407,33,18,199,117,123,100,138,66,18,120,54,119,23,16,175,133,61,68,452,37,26,7,10,26,4,18,9,309,76,8,70,16,7,92,6,28,269,28,70,29,8,72,240,43,NA,19,5,2,1,NA,2,3,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,NA,4,83,NA,12,9,45,5
hub_1542,82,4,2,4,6,1,5,3,1,9,4,2,2,34,6,33,39,65,91,66,32,179,161,28,77,13,1,8,2,6,2,NA,1,NA,3,5,37,1,1,35,6,11,22,17,8,31,37,52,30,99,83,14,71,31,228,46,24,36,120,40,8,2,90,49,5,25,44,16,9,1,5,18,1,4,3,11,1,6,6,11,1,4,3,NA,3,6,14,6,2,3,14,47,2,11,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,6,19,2,NA
hub_1543,49,2,1,5,4,2,13,5,NA,1,6,NA,1,111,10,11,125,31,68,27,20,72,50,137,84,12,15,5,1,NA,2,NA,1,5,6,3,7,NA,NA,26,3,5,48,24,7,15,22,11,47,108,23,25,31,40,10,21,92,91,186,25,9,3,13,144,7,71,12,6,3,NA,1,4,NA,1,NA,13,4,NA,2,3,1,13,2,2,3,11,11,10,1,1,18,5,1,7,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,7,1,NA,NA
hub_1544,40,21,49,10,22,2,38,8,2,10,5,1,6,34,11,19,30,12,40,86,29,75,28,2,252,21,4,8,20,13,14,6,8,6,21,4,33,7,5,56,9,5,14,20,8,14,55,23,43,15,76,45,36,39,50,22,39,45,32,18,10,9,52,38,4,25,31,14,18,9,3,2,1,31,4,34,15,1,21,8,5,7,86,7,13,22,21,23,5,27,82,19,84,9,1,3,5,NA,NA,1,3,NA,1,1,NA,3,1,NA,NA,3,NA,NA,3,1,NA,4,2,1,NA
hub_1545,97,10,9,7,9,NA,15,13,4,4,39,7,NA,157,45,15,9,11,3,7,23,42,18,6,18,562,50,105,3,14,30,16,7,2,7,20,65,4,3,65,44,69,22,41,43,96,55,53,107,4,76,65,50,52,93,10,149,57,91,75,45,51,95,461,19,94,31,85,85,12,33,18,5,15,2,66,5,2,9,14,13,1,8,2,12,22,10,22,3,5,20,57,8,31,5,4,NA,2,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,1,NA,1,NA,10,NA,28,11,NA,1
hub_1546,71,4,8,25,1,1,16,6,4,1,24,2,3,279,41,10,4,8,3,NA,8,23,4,2,10,57,272,103,1,3,3,NA,NA,2,5,8,70,2,1,98,190,46,44,80,107,44,21,17,55,30,30,25,25,15,30,9,55,27,35,73,56,42,32,79,13,290,12,140,215,7,10,23,NA,12,NA,52,5,7,4,8,1,5,1,3,6,15,6,7,2,5,6,19,2,46,3,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17,NA,NA
hub_1547,65,10,11,NA,8,NA,14,2,NA,5,19,15,1,292,96,22,4,11,3,1,3,3,6,1,12,83,148,315,7,4,10,NA,1,1,5,14,108,5,4,141,87,67,183,107,135,53,42,22,59,36,114,38,26,48,23,3,156,21,82,479,54,58,49,72,15,173,30,97,87,4,18,8,7,7,2,26,6,1,2,6,1,1,17,1,NA,24,9,12,1,4,23,22,7,137,1,2,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,6,NA,25,56,3,2
hub_1548,26,32,93,98,27,17,45,27,NA,18,5,5,56,13,11,12,10,13,4,9,32,44,NA,NA,24,15,2,16,273,65,85,28,21,282,7,13,7,1,4,15,17,7,4,NA,8,9,78,24,7,10,32,30,32,31,61,114,9,20,14,44,4,13,18,35,10,18,38,7,NA,4,9,2,2,7,16,47,19,1,5,23,1,17,15,26,32,38,39,28,116,42,115,22,2,4,12,9,NA,NA,NA,NA,1,1,1,4,NA,NA,1,1,NA,NA,NA,1,34,18,NA,7,NA,6,NA
hub_1549,25,89,59,110,29,23,17,61,NA,38,18,1,29,14,2,10,23,10,3,6,8,93,NA,NA,34,13,4,5,49,347,98,32,25,204,11,4,4,NA,4,5,4,4,2,8,4,14,91,28,10,10,30,28,34,49,37,17,24,36,35,15,2,5,12,31,5,31,66,14,12,1,8,9,3,12,17,70,42,3,4,7,2,13,7,62,41,59,75,18,40,47,109,25,5,5,17,6,NA,NA,1,2,3,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,28,19,2,1,12,7,3
